"Contract_ID","Plan_ID","Segment_ID","Year","Premium","Annual_Deductible","In_MOOP","Out_MOOP","In_HP_Deductible","Out_HP_Deductible","In_Inpatient","Out_Inpatient","Out_Inpatient_Coin","In_Primary_Min","In_Primary_Max","Out_Primary_Min","Out_Primary_Max","Out_Primary_Coin","In_Specialist_Min","In_Specialist_Max","Out_Specialist_Min","Out_Specialist_Max","Out_Specialist_Coin","Emergency_Care","Urgent_Care_Min","Urgent_Care_Max","In_Ambulance","In_Ambulance_Coin","Out_Ambulance_Min","Out_Ambulance_Max","Out_Ambulance_Coin","In_Vision_Exam","Out_Vision_Exam","Out_Vision_Exam_Coin","In_Hearing_Exam","Out_Hearing_Exam_Min","Out_Hearing_Exam_Max","Out_Hearing_Exam_Coin","Tier1","Tier2","Tier3","Tier4","Tier4_Coin","Tier5_Coin","OTC_Yearly"
"H0712",19,0,2019,0,0,5000,NA,175,NA,450,450,NA,0,0,0,0,NA,45,45,45,45,NA,90,25,25,250,NA,250,250,NA,0,0,NA,45,45,45,NA,3,12,47,NA,0.48,0.33,240
"H0712",20,0,2019,16.6,415,4000,4000,0,0,375,NA,0.3,0,0,NA,NA,0.3,35,35,NA,NA,0.3,90,25,25,200,NA,200,NA,0.3,0,NA,NA,35,NA,NA,0.3,3,7,47,NA,0.5,0.25,420
"H0712",21,0,2019,40,0,6700,NA,0,0,450,450,NA,0,0,0,0,NA,35,35,35,35,NA,90,25,25,150,NA,150,150,NA,0,0,NA,35,35,35,NA,0,17,47,NA,0.48,0.33,276
"H3528",10,0,2019,0,0,6700,6700,0,0,465,465,NA,0,0,0,0,NA,45,45,45,45,NA,90,50,50,325,NA,325,325,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.33,NA
"H3528",14,0,2019,0,300,6700,NA,1000,NA,465,465,NA,10,10,10,10,NA,50,50,50,50,NA,90,50,50,385,NA,385,385,NA,50,50,NA,50,50,50,NA,2,10,42,95,NA,0.27,NA
"H5521",13,0,2019,77,0,6700,6700,0,0,310,NA,0.3,10,10,NA,NA,0.3,40,40,NA,NA,0.3,90,10,40,275,NA,275,275,NA,0,0,0.3,40,NA,NA,0.3,2,5,47,100,NA,0.33,300
"H5793",1,0,2019,67,195,6700,NA,0,0,450,450,NA,20,20,20,20,NA,45,45,45,45,NA,90,20,45,315,NA,325,325,NA,0,0,NA,45,45,45,NA,2,5,47,100,NA,0.29,300
"H5793",10,0,2019,0,0,6700,NA,1000,NA,750,750,NA,15,15,15,15,NA,45,45,45,45,NA,90,15,45,295,NA,295,295,NA,0,0,NA,45,45,45,NA,2,5,47,100,NA,0.33,300
"H0755",30,0,2019,96,100,4200,NA,0,NA,345,345,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,225,NA,225,225,NA,20,20,NA,5,5,5,NA,3,12,45,95,NA,0.31,240
"H0755",31,0,2019,26,150,6000,NA,0,NA,395,395,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,250,NA,250,250,NA,20,20,NA,10,10,10,NA,3,12,45,95,NA,0.31,200
"H0755",32,0,2019,0,NA,6000,NA,0,NA,395,395,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,20,20,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"H0755",33,0,2019,0,175,6700,NA,0,0,430,430,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,240,NA,240,240,NA,20,20,NA,15,15,15,NA,3,12,45,95,NA,0.31,160
"H5793",11,0,2019,0,0,6700,NA,1000,NA,750,750,NA,10,10,10,10,NA,40,40,40,40,NA,90,10,40,250,NA,250,250,NA,0,0,NA,40,40,40,NA,2,5,47,100,NA,0.33,300
"H5793",12,0,2019,0,0,6700,NA,1000,NA,750,750,NA,0,0,0,0,NA,35,35,35,35,NA,90,0,35,295,NA,295,295,NA,0,0,NA,35,35,35,NA,0,0,47,100,NA,0.33,300
"H5854",7,0,2019,24,415,6700,NA,0,0,430,430,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,330,NA,330,330,NA,0,0,NA,50,50,50,NA,10,15,41,95,NA,0.25,NA
"H3528",3,0,2019,0,NA,6000,NA,0,0,295,295,NA,0,0,0,0,NA,10,10,10,10,NA,90,10,10,50,NA,50,50,NA,10,10,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"H3528",6,0,2019,237,300,5300,10000,0,0,285,450,NA,15,15,40,40,NA,30,30,40,40,NA,90,30,30,200,NA,200,200,NA,30,40,NA,30,40,40,NA,2,10,42,95,NA,0.27,NA
"H5273",1,0,2019,0,200,5900,NA,0,0,425,425,NA,0,0,0,0,NA,45,45,45,45,NA,90,45,45,325,NA,325,325,NA,45,45,NA,45,45,45,NA,3,12,45,95,NA,0.29,NA
"H5273",2,0,2019,29,150,4900,NA,0,0,375,375,NA,0,0,0,0,NA,40,40,40,40,NA,90,40,40,250,NA,250,250,NA,40,40,NA,40,40,40,NA,3,12,45,95,NA,0.3,NA
"H5273",3,0,2019,89,0,3700,NA,0,0,250,250,NA,0,0,0,0,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,30,30,NA,3,12,45,95,NA,0.33,NA
"H3528",11,1,2019,46,300,6700,10000,0,0,465,NA,0.5,0,20,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,0.5,50,NA,NA,0.5,2,10,42,95,NA,0.27,NA
"H3528",11,2,2019,66,300,6700,10000,0,0,465,NA,0.5,0,20,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,0.5,50,NA,NA,0.5,2,10,42,95,NA,0.27,NA
"H3528",12,1,2019,120,300,6000,10000,0,0,375,NA,0.3,0,15,50,50,NA,35,35,50,50,NA,90,35,35,300,NA,300,300,NA,35,50,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H3528",13,1,2019,186,300,3400,NA,0,0,345,345,NA,0,10,0,10,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,30,30,NA,2,10,42,95,NA,0.27,NA
"H3528",13,2,2019,172,300,3400,NA,0,0,345,345,NA,0,10,0,10,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,30,30,NA,2,10,42,95,NA,0.27,NA
"H5854",9,0,2019,34,380,6700,NA,0,0,440,440,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,300,NA,300,300,NA,0,0,NA,50,50,50,NA,12,15,42,95,NA,0.25,NA
"H5854",10,0,2019,0,275,6700,NA,0,0,360,360,NA,10,10,10,10,NA,45,45,45,45,NA,90,50,50,300,NA,300,300,NA,0,0,NA,45,45,45,NA,0,14,41,95,NA,0.27,236
"H5854",11,0,2019,36.2,415,6700,NA,0,0,300,300,NA,5,5,5,5,NA,40,40,40,40,NA,90,65,65,300,NA,300,300,NA,0,0,NA,40,40,40,NA,0,10,47,95,NA,0.25,68
"H3528",12,2,2019,140,300,6000,10000,0,0,375,NA,0.3,0,15,50,50,NA,35,35,50,50,NA,90,35,35,300,NA,300,300,NA,35,50,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H3442",1,0,2020,0,0,6700,6700,1000,1000,750,NA,0.3,0,0,20,20,NA,40,40,50,50,NA,90,30,40,260,NA,260,260,NA,0,50,NA,0,50,50,NA,0,0,47,100,NA,0.33,200
"H3528",3,0,2020,0,NA,6000,NA,0,0,295,295,NA,0,0,0,0,NA,10,10,10,10,NA,90,10,10,50,NA,50,50,NA,10,10,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"H3528",6,0,2020,240,300,5300,10000,0,0,285,450,NA,0,15,40,40,NA,30,30,40,40,NA,90,30,30,200,NA,200,200,NA,30,NA,NA,30,40,40,NA,2,10,42,95,NA,0.27,NA
"H3528",10,0,2020,0,275,6700,NA,0,0,490,490,NA,0,20,0,20,NA,50,50,50,50,NA,90,50,50,325,NA,325,325,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,NA
"H3528",14,0,2020,0,435,6700,NA,250,NA,479,479,NA,0,0,0,0,NA,45,45,40,40,NA,90,45,45,385,NA,385,385,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.25,NA
"H3528",15,0,2020,133,300,6000,10000,0,0,375,NA,0.3,0,15,50,50,NA,35,35,50,50,NA,90,35,35,0,NA,0,0,NA,35,NA,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H3528",16,0,2020,182,300,3400,NA,0,0,345,345,NA,0,10,0,10,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,30,30,NA,2,10,42,95,NA,0.27,NA
"H0712",19,0,2020,0,0,5000,NA,175,NA,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,25,25,300,NA,300,300,NA,0,0,NA,45,45,45,NA,3,10,47,NA,0.48,0.33,240
"H0712",20,0,2020,10.5,435,5000,5000,0,0,375,NA,0.3,0,0,NA,NA,0.3,35,35,NA,NA,0.3,90,25,25,250,NA,NA,NA,0.3,0,NA,NA,35,NA,NA,0.3,6,19,47,NA,0.5,0.25,420
"H0755",30,0,2020,99,100,4700,NA,0,0,345,345,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,240,NA,240,240,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.31,240
"H0755",31,0,2020,29,150,6000,NA,0,0,395,395,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,260,NA,260,260,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,200
"H0755",32,0,2020,0,NA,6000,NA,0,0,395,395,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"H0755",33,0,2020,0,175,6700,NA,0,0,450,450,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,240,NA,240,240,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.29,160
"H1914",1,0,2020,0,0,5000,5000,0,0,325,NA,0.3,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.3,40,50,50,NA,0,15,47,NA,0.45,0.33,240
"H3528",11,2,2020,69,300,5500,10000,0,0,465,NA,0.5,0,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,NA
"H5273",1,0,2020,0,0,6700,NA,0,0,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,0,45,300,NA,300,300,NA,15,15,NA,45,45,45,NA,0,10,47,100,NA,0.33,NA
"H5273",2,0,2020,29,0,4900,NA,0,0,375,375,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,250,NA,250,250,NA,15,15,NA,40,40,40,NA,0,10,47,100,NA,0.33,160
"H5273",3,0,2020,89,0,3700,NA,0,0,250,250,NA,0,0,0,0,NA,30,30,30,30,NA,90,0,30,200,NA,200,200,NA,15,15,NA,30,30,30,NA,0,10,47,100,NA,0.33,160
"H5521",13,0,2020,88,250,6700,6700,0,0,310,NA,0.4,10,10,NA,NA,0.4,40,40,NA,NA,0.4,90,10,40,275,NA,275,275,NA,0,NA,0.4,40,NA,NA,0.4,0,5,47,100,NA,0.28,200
"H5793",1,0,2020,78,0,6700,NA,0,0,450,450,NA,20,20,20,20,NA,45,45,45,45,NA,90,20,45,315,NA,315,315,NA,0,0,NA,45,45,45,NA,2,5,47,100,NA,0.33,200
"H5793",10,0,2020,0,0,6700,NA,1000,NA,795,795,NA,15,15,15,15,NA,45,45,45,45,NA,90,15,45,295,NA,295,295,NA,0,0,NA,45,45,45,NA,2,5,47,100,NA,0.33,200
"H5793",12,0,2020,0,0,6700,NA,1000,NA,795,795,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,295,NA,295,295,NA,0,0,NA,40,40,40,NA,0,0,47,100,NA,0.33,200
"H5854",7,0,2020,25,435,6700,NA,0,0,430,430,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,330,NA,330,330,NA,0,0,NA,50,50,50,NA,10,15,41,95,NA,0.25,NA
"H5854",9,0,2020,35,380,6700,NA,0,0,440,440,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,325,NA,325,325,NA,0,0,NA,50,50,50,NA,12,15,42,95,NA,0.26,NA
"H5854",10,0,2020,0,275,6700,NA,0,0,385,385,NA,5,5,5,5,NA,45,45,45,45,NA,90,50,50,325,NA,325,325,NA,0,0,NA,45,45,45,NA,0,14,41,95,NA,0.28,120
"H5854",11,0,2020,21.2,435,6700,NA,0,0,400,400,NA,5,5,5,5,NA,40,40,40,40,NA,90,65,65,300,NA,300,300,NA,0,0,NA,40,40,40,NA,0,8,47,95,NA,0.25,240
"H3528",11,1,2020,49,300,5500,10000,0,0,465,0,0.5,0,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,NA
"H1914",2,0,2021,0,0,6500,10000,250,250,290,NA,0.2,0,0,50,50,NA,40,40,50,50,NA,90,40,40,220,NA,220,220,NA,0,NA,0.4,40,50,50,NA,0,15,47,NA,0.45,0.33,160
"H1914",3,0,2021,0,0,6700,10000,0,0,450,NA,0.2,0,0,0,0,NA,50,50,50,50,NA,90,25,25,280,NA,280,280,NA,NA,NA,NA,50,50,50,NA,0,10,35,NA,0.48,0.33,220
"H2836",5,0,2021,25,95,7550,11300,1000,1000,325,NA,0.4,5,5,35,35,NA,45,45,60,60,NA,90,30,30,295,NA,295,295,NA,0,0,NA,45,60,60,NA,4,13,42,95,NA,0.31,140
"H3442",1,0,2021,0,0,6700,10000,1000,1000,750,NA,0.3,0,0,20,20,NA,35,35,55,55,NA,90,30,40,250,NA,250,250,NA,0,55,NA,0,55,55,NA,0,0,47,100,NA,0.33,200
"H3528",3,0,2021,0,NA,6000,NA,0,0,295,295,NA,0,0,0,0,NA,10,10,10,10,NA,90,10,10,50,NA,50,50,NA,10,0.1,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"H3528",6,0,2021,241,300,5300,10000,0,0,285,450,NA,15,15,40,40,NA,30,30,40,40,NA,90,30,30,200,NA,200,200,NA,30,NA,NA,30,40,40,NA,2,10,42,95,NA,0.27,NA
"H3528",10,0,2021,0,275,7550,NA,0,0,490,490,NA,25,25,25,25,NA,50,50,50,50,NA,90,50,50,415,NA,415,415,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,NA
"H3528",14,0,2021,0,445,7550,NA,0,0,490,490,NA,10,10,10,10,NA,45,45,45,45,NA,90,45,45,385,NA,385,385,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.25,NA
"H0342",1,0,2021,0,0,7550,7550,1000,1000,795,NA,0.3,0,0,20,20,NA,45,45,50,50,NA,90,45,45,325,NA,325,325,NA,0,NA,0.3,45,50,50,NA,0,0,47,100,NA,0.33,200
"H0712",19,0,2021,0,0,5500,NA,175,NA,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,25,25,260,NA,260,260,NA,0,0,NA,45,45,45,NA,1,6,47,NA,0.48,0.33,100
"H0712",20,0,2021,21.4,445,5500,NA,0,0,375,375,NA,0,0,0,0,NA,30,30,30,30,NA,90,25,25,250,NA,250,250,NA,0,0,NA,30,30,30,NA,0,20,47,NA,0.5,0.25,320
"H0755",30,0,2021,94,100,4700,NA,0,0,345,345,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.31,240
"H0755",31,0,2021,29,150,6000,NA,0,0,395,395,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,200
"H0755",32,0,2021,0,NA,6000,NA,0,0,395,395,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,200
"H0755",33,0,2021,0,175,6700,NA,0,0,450,450,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,160
"H1914",1,0,2021,0,100,5000,5000,0,0,325,NA,0.3,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.4,40,50,50,NA,0,8,47,NA,0.45,0.31,204
"H3528",11,2,2021,69,300,5500,10000,0,0,465,NA,0.5,5,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,200
"H3528",15,0,2021,134,300,6000,10000,0,0,375,NA,0.3,15,15,50,50,NA,35,35,50,50,NA,90,35,35,300,NA,300,300,NA,35,NA,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H3528",16,0,2021,183,300,3400,NA,0,0,345,345,NA,10,10,10,10,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,NA,NA,30,30,30,NA,2,10,42,95,NA,0.27,NA
"H3528",17,0,2021,0,445,7550,7550,1000,NA,495,495,NA,25,25,25,25,NA,50,50,50,50,NA,90,50,50,395,NA,395,395,NA,10,10,NA,40,40,40,NA,2,10,42,95,NA,0.25,300
"H5273",1,0,2021,0,0,7550,NA,0,0,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,0,45,300,NA,300,300,NA,15,15,NA,45,45,45,NA,0,0,47,100,NA,0.33,100
"H5273",2,0,2021,30,0,5900,NA,0,0,375,375,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,250,NA,250,250,NA,15,15,NA,40,40,40,NA,0,0,47,100,NA,0.33,160
"H5273",3,0,2021,90,0,4700,NA,0,0,250,250,NA,0,0,0,0,NA,30,30,30,30,NA,90,0,30,200,NA,200,200,NA,15,15,NA,30,30,30,NA,0,0,47,100,NA,0.33,160
"H5521",13,0,2021,99,250,7550,7550,0,0,395,NA,0.4,10,10,NA,NA,0.4,45,45,NA,NA,0.4,90,10,45,295,NA,295,295,NA,0,NA,0.4,45,NA,NA,0.4,0,5,47,100,NA,0.28,180
"H5793",1,0,2021,99,0,7550,NA,0,0,395,395,NA,15,15,15,15,NA,50,50,50,50,NA,90,15,50,315,NA,315,315,NA,0,0,NA,50,50,50,NA,2,5,47,100,NA,0.33,180
"H5793",10,0,2021,0,0,7550,NA,1000,NA,795,795,NA,15,15,15,15,NA,50,50,50,50,NA,90,15,50,295,NA,295,295,NA,0,0,NA,50,50,50,NA,2,5,47,100,NA,0.33,180
"H5793",12,0,2021,0,0,6700,NA,1000,NA,795,795,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,295,NA,295,295,NA,0,0,NA,40,40,40,NA,0,5,47,100,NA,0.33,180
"H5854",7,0,2021,26,445,6700,NA,0,NA,430,430,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,330,NA,330,330,NA,0,0,NA,50,50,50,NA,10,15,41,95,NA,0.25,NA
"H5854",9,0,2021,36,380,6700,NA,0,0,440,440,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,325,NA,325,325,NA,0,0,NA,50,50,50,NA,12,15,42,95,NA,0.26,NA
"H5854",10,0,2021,0,275,6950,NA,0,0,385,385,NA,5,5,5,5,NA,45,45,45,45,NA,90,50,50,325,NA,325,325,NA,0,0,NA,45,45,45,NA,0,14,41,95,NA,0.28,140
"H5854",11,0,2021,35.2,445,6700,NA,0,0,400,400,NA,5,5,5,5,NA,40,40,40,40,NA,90,65,65,300,NA,300,300,NA,0,0,NA,40,40,40,NA,0,8,47,95,NA,0.25,200
"H3528",11,1,2021,49,300,5500,10000,0,0,465,NA,0.5,5,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,200
"H1914",4,0,2022,27.2,480,6700,6700,0,0,525,NA,0.2,0,0,0,0,NA,40,40,250,250,NA,90,40,40,250,NA,0,250,NA,0,NA,0.4,40,0,250,NA,0,17,43,NA,0.43,0.25,400
"H2752",1,0,2022,0,0,6500,NA,0,0,475,475,NA,0,0,0,0,NA,40,40,0,40,NA,90,25,25,260,NA,260,260,NA,0,0,NA,25,25,25,NA,0,4,42,95,NA,0.33,180
"H2836",5,0,2022,0,95,7550,7550,750,750,325,NA,0.4,5,5,35,35,NA,45,45,60,60,NA,90,30,30,295,NA,295,295,NA,0,0,NA,45,60,60,NA,4,13,42,95,NA,0.31,140
"H3442",1,0,2022,0,0,6700,6700,1,1,750,NA,0.3,0,0,20,20,NA,45,45,65,65,NA,90,40,40,270,NA,270,270,NA,0,65,NA,0,65,65,NA,0,0,47,100,NA,0.33,200
"H3528",3,0,2022,0,NA,6000,NA,0,0,295,295,NA,0,0,0,0,NA,10,10,10,10,NA,90,10,10,50,NA,50,50,NA,10,10,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,300
"H3528",6,0,2022,242,300,5300,5300,0,0,285,450,NA,15,15,40,40,NA,30,30,40,40,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,40,40,NA,2,10,42,95,NA,0.27,NA
"H3528",10,0,2022,0,275,7550,NA,0,0,490,490,NA,15,15,15,15,NA,50,50,50,50,NA,90,50,50,415,NA,415,415,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,60
"H3528",14,0,2022,0,445,7550,NA,395,NA,490,490,NA,10,10,10,10,NA,45,45,45,45,NA,90,45,45,385,NA,385,385,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.25,240
"H3528",15,0,2022,135,300,6000,6000,0,0,375,NA,0.3,15,15,50,50,NA,35,35,50,50,NA,90,35,35,300,NA,300,300,NA,35,NA,NA,35,50,50,NA,2,10,42,95,NA,0.27,NA
"H0342",1,0,2022,0,0,4900,4900,1,1,795,NA,0.3,0,0,50,50,NA,45,45,50,50,NA,90,45,45,325,NA,325,325,NA,0,50,NA,45,50,50,NA,0,0,47,100,NA,0.33,200
"H0712",19,0,2022,0,0,7550,NA,175,NA,465,465,NA,0,0,0,0,NA,45,45,45,45,NA,90,25,25,300,NA,300,300,NA,0,0,NA,45,45,45,NA,0,1,37,NA,0.43,0.33,120
"H0712",20,0,2022,24.1,480,5500,NA,0,0,375,375,NA,0,0,0,0,NA,30,30,30,30,NA,90,25,25,250,NA,250,250,NA,0,0,NA,30,30,30,NA,0,15,42,NA,0.48,0.25,400
"H0755",30,0,2022,91,0,4700,NA,0,0,345,345,NA,0,0,0,0,NA,30,30,30,30,NA,90,40,40,270,NA,270,270,NA,0,0,NA,0,0,0,NA,0,12,47,100,NA,0.33,240
"H0755",31,0,2022,29,150,6000,NA,0,0,395,395,NA,10,10,10,10,NA,40,40,40,40,NA,90,40,40,270,NA,270,270,NA,0,0,NA,0,0,0,NA,0,12,47,100,NA,0.3,200
"H0755",32,0,2022,0,NA,6000,NA,0,0,395,395,NA,0,0,0,0,NA,35,35,35,35,NA,90,40,40,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,200
"H0755",33,0,2022,0,175,6700,NA,0,0,450,450,NA,15,15,15,15,NA,45,45,45,45,NA,90,40,40,265,NA,265,265,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,160
"H1914",1,0,2022,0,200,5500,5500,0,0,450,NA,0.2,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.4,40,50,50,NA,0,1,37,NA,0.45,0.29,180
"H1914",2,0,2022,0,395,7550,7550,225,225,465,NA,0.2,0,0,50,50,NA,40,40,50,50,NA,90,40,40,265,NA,265,265,NA,0,NA,0.4,40,50,50,NA,0,10,37,NA,0.48,0.26,140
"H3528",11,1,2022,46,300,5500,10000,0,0,465,NA,0.35,5,5,NA,NA,0.35,50,50,NA,NA,0.35,95,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.35,2,10,42,95,NA,0.27,200
"H3528",11,2,2022,70,300,5500,NA,0,0,465,NA,0.5,5,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,200
"H3528",16,0,2022,184,300,3400,NA,0,0,345,345,NA,10,10,10,10,NA,30,30,30,30,NA,90,30,30,200,NA,200,200,NA,30,30,NA,30,30,30,NA,2,10,42,95,NA,0.27,NA
"H3528",17,0,2022,0,445,7550,NA,1,1,495,495,NA,20,20,20,20,NA,45,45,45,45,NA,90,50,50,395,NA,395,395,NA,10,10,NA,40,40,40,NA,2,10,42,95,NA,0.25,240
"H5273",1,0,2022,0,0,4900,NA,0,0,475,475,NA,0,0,0,0,NA,45,45,45,45,NA,90,0,45,300,NA,300,300,NA,15,15,NA,45,45,45,NA,0,0,47,100,NA,0.33,100
"H5273",2,0,2022,39,0,4900,NA,0,0,375,375,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,250,NA,250,250,NA,15,15,NA,40,40,40,NA,0,0,47,100,NA,0.33,140
"H5521",13,0,2022,99,250,7550,7550,0,0,395,NA,0.4,10,10,NA,NA,0.4,45,45,NA,NA,0.4,90,10,45,315,NA,315,315,NA,0,NA,0.4,45,NA,NA,0.4,0,0,47,100,NA,0.28,180
"H5793",1,0,2022,49,0,6700,NA,0,0,335,335,NA,0,0,0,0,NA,45,45,45,45,NA,90,0,45,285,NA,285,285,NA,0,0,NA,45,45,45,NA,0,0,47,100,NA,0.33,180
"H5793",10,0,2022,0,1,7550,NA,0,0,795,795,NA,10,10,10,10,NA,45,45,45,45,NA,90,10,45,290,NA,290,290,NA,0,0,NA,45,45,45,NA,2,5,47,100,NA,0.33,180
"H5854",7,0,2022,26,480,6700,NA,0,0,430,430,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,330,NA,330,330,NA,0,0,NA,50,50,50,NA,10,15,41,95,NA,0.25,NA
"H5854",9,0,2022,36,380,6700,NA,0,0,440,440,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,325,NA,325,325,NA,0,0,NA,50,50,50,NA,12,15,42,95,NA,0.26,NA
"H5854",10,0,2022,0,275,7300,NA,0,0,400,400,NA,5,5,5,5,NA,45,45,45,45,NA,90,50,50,325,NA,325,325,NA,0,0,NA,45,45,45,NA,0,14,35,95,NA,0.28,140
"H5854",11,0,2022,31.9,480,6700,NA,0,0,400,400,NA,5,5,5,5,NA,40,40,40,40,NA,90,65,65,300,NA,300,300,NA,0,0,NA,40,40,40,NA,0,8,47,95,NA,0.25,200
"H7849",52,0,2022,0,0,6500,6500,0,0,385,NA,0.3,0,0,15,15,NA,0,30,50,50,NA,90,30,30,275,NA,275,275,NA,0,NA,0.3,25,45,45,NA,0,0,42,95,NA,0.33,140
"H7849",54,0,2022,26,0,5900,5900,0,0,295,NA,0.3,0,0,15,15,NA,0,30,45,45,NA,90,30,30,275,NA,275,275,NA,0,NA,0.3,25,45,45,NA,0,0,42,95,NA,0.33,200
